year	cid	CODE	COUNTRY	Y	K	KBC30	LWDI	secondary	EGC	mlines	troads	cells	proads	rails
1976	3	AUS	Australia	223732872968.35200	514633664864.14200	566605498854.47400	6314850.00000	1.55590	22324.00000	3699999.00000	843300.00000	0.00000	227900.00000	40753.00000
1977	3	AUS	Australia	228373704981.58400	532382600725.95200	581236124676.86500	6386400.00000	1.61060	22823.00000	3907002.00000	843268.00000	0.00000	231600.00000	40133.00000
1978	3	AUS	Australia	239726256170.46400	555766490690.56700	601688803204.42500	6461100.00000	1.66780	23995.00000	4165945.00000	842698.00000	0.00000	237900.00000	39710.00000
1979	3	AUS	Australia	246139491497.79700	578187967622.26700	621354941385.29400	6676440.00000	1.72610	25334.00000	4449469.00000	842128.00000	0.00000	240832.00000	39388.00000
1980	3	AUS	Australia	255642902947.23400	605076192312.32600	645653147649.57100	6758320.00000	1.78360	23813.00000	4742664.00000	816832.00000	0.00000	243800.00000	39463.00000
1981	3	AUS	Australia	266740815398.71000	635943695580.82700	674086033597.83700	6866420.00000	1.83310	24386.00000	5069343.00000	812129.00000	0.00000	253435.00000	39136.00000
1982	3	AUS	Australia	262206543592.68300	654475690542.30000	690329488278.28900	7133660.00000	1.88050	26113.00000	5356571.00000	801976.00000	0.00000	263451.00000	38943.00000
1983	3	AUS	Australia	273587030462.11500	677467575649.78000	711170145521.61000	7223430.00000	1.92940	28133.00000	5591667.00000	815142.00000	0.00000	262900.00000	39086.00000
1984	3	AUS	Australia	285392644041.05200	704897981998.62700	736578397678.14700	7305680.00000	1.97870	29082.00000	5850597.00000	795354.00000	0.00000	266873.00000	39269.00000
1985	3	AUS	Australia	299853252700.92700	733469929933.23100	763249520671.98000	7563840.00000	2.03020	31477.00000	6186832.00000	801589.00000	0.00000	270906.00000	39068.00000
1986	3	AUS	Australia	306310841449.53800	757478600450.49200	785471415744.91600	7688830.00000	2.08090	32692.00000	6501466.00000	804753.00000	0.00000	275000.00000	38544.00000
1987	3	AUS	Australia	321669894054.42800	787558136054.30900	813871382431.06800	7969310.00000	2.13310	33233.00000	6816298.00000	805397.00000	4420.00000	279500.00000	38393.00000
1988	3	AUS	Australia	333029754677.00500	826316280735.71800	851050732329.87100	8100780.00000	2.18360	34473.00000	7091547.00000	808315.00000	31600.00000	281539.00000	38162.00000
1989	3	AUS	Australia	346169516965.11500	864730113539.53400	887980498038.03800	8239060.00000	2.23070	34823.00000	7419980.00000	805397.00000	94500.00000	283592.00000	35777.00000
1990	3	AUS	Australia	343744380511.08400	887516386757.14100	909371748185.73500	8532550.00000	2.27440	35050.00000	7786934.50000	810264.00000	185000.00000	288700.00000	35486.00000
1991	3	AUS	Australia	347026141523.09100	904587567931.49100	925131607674.36900	8642000.00000	2.32380	34562.00000	8046029.00000	810264.00000	291000.00000	292581.00000	37295.00000
1992	3	AUS	Australia	359046960548.84400	927350670674.42600	946662068032.73100	8746000.00000	2.37090	34012.00000	8257000.00000	810264.00000	497000.00000	296514.00000	37233.00000
1993	3	AUS	Australia	372352609213.47500	953933312287.70200	972086025804.50900	8831000.00000	2.42601	35462.00000	8540000.00000	813316.50000	690000.00000	300500.00000	36652.00000
1994	3	AUS	Australia	389665792718.05500	989374771235.71500	1006438321941.51000	8923500.00000	2.48107	36602.00000	8846035.00000	816369.00000	1220000.00000	332572.50000	36212.00000
1995	3	AUS	Australia	405715839173.41600	1023412190871.77000	1039451928535.22000	9212130.00000	2.53626	38224.00000	8895568.00000	816447.00000	2240000.00000	345481.59375	36230.00000
1996	3	AUS	Australia	422300733408.43200	1063403048563.23000	1078480401966.87000	9339120.00000	2.59178	39077.00000	9170501.00000	801402.00000	3990000.00000	353331.00000	36220.00000
1997	3	AUS	Australia	441317064619.70100	1110665725767.16000	1124838437966.59000	9451420.00000	2.64792	41549.00000	9350101.00000	800816.00000	4580000.00000	367126.00000	36177.00000
1998	3	AUS	Australia	464398813433.76600	1164330675069.17000	1177653024536.63000	9581859.00000	2.66637	39252.00000	9540000.00000	803075.00000	4918000.00000	353331.00000	38563.00000
